ID,MEDV
0,22.785640
1,24.860837
2,14.565813
3,18.658681
4,21.058143
5,21.609139
6,18.021693
7,21.345078
8,33.187211
9,17.128031
10,24.280400
11,20.213815
12,19.453952
13,15.690843
14,19.078613
15,26.349755
16,16.740122
17,24.893548
18,20.108004
19,20.430943
20,23.733718
21,36.327713
22,23.679470
23,11.284066
24,14.872556
25,12.109798
26,15.743056
27,19.652533
28,23.321265
29,16.054567
30,36.325529
31,18.690617
32,17.657346
33,18.911921
34,25.121531
35,20.943041
36,29.680879
37,30.749021
38,39.593432
39,26.016608
40,15.707415
41,29.449647
42,23.120036
43,16.061903
44,19.934998
45,24.437707
46,15.939823
47,23.122733
48,15.645159
49,14.940417
50,19.758333
51,32.877407
52,21.347764
53,5.191490
54,13.553730
55,16.379966
56,19.642643
57,13.130699
58,10.235452
59,17.258441
60,18.720355
61,19.472249
62,32.162711
63,23.436351
64,36.303324
65,32.081339
66,13.987781
67,20.907311
68,24.269929
69,15.042384
70,17.476235
71,17.258208
72,27.009423
73,13.849977
74,19.693079
75,15.540339
76,19.065706
77,31.114220
78,17.515413
79,33.058277
80,32.446707
81,42.332656
82,28.684367
83,28.940950
84,18.301385
85,32.222989
86,14.126270
87,27.960553
88,14.731642
89,19.579526
90,13.097055
91,19.371864
92,13.462809
93,21.937675
94,20.294320
95,23.407925
96,35.648769
97,9.476330
98,14.157937
99,26.165873
100,24.447032
101,15.730084
102,27.829397
103,35.220629
104,15.148166
